scenario_id,timestamp,zone,gas_level,temperature,pressure,ventilation,hot_work,maintenance,confined_space_entry,environmental_risk_score,incident_type,risk_score,confidence_score,time_to_escalation,risk_factors,recommended_actions
1,2026-07-01 08:00:00,Zone B,29.39,31.94,47.81,83.1,0,0,0,31.51,Safe,31.51,50,3 Hours 26 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
2,2026-07-01 08:05:00,Zone B,15.15,36.47,29.95,71.62,0,1,0,27.49,Safe,32.49,50,3 Hours 17 Minutes,"[""Active Maintenance Activity""]","[""Immediate suspension of active maintenance permits in Zone""]"
3,2026-07-01 08:10:00,Zone B,21.37,87.22,85.77,77.85,0,1,0,54.13,Explosion,100.0,90,15 Minutes,"[""High Temperature"", ""High Pressure"", ""Active Maintenance Activity""]","[""Emergency relief valve activation"", ""Immediate suspension of active maintenance permits in Zone"", ""Emergency cooling line engagement""]"
4,2026-07-01 08:15:00,Zone A,61.61,64.32,48.5,74.12,1,0,0,50.07,Gas Ignition,90.07,75,26 Minutes,"[""Active Hot Work Permit""]","[""Automated trip of active hot work power lines""]"
5,2026-07-01 08:20:00,Zone A,1.63,21.05,31.48,91.72,0,0,0,15.61,Safe,15.61,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
6,2026-07-01 08:25:00,Zone A,14.34,9.19,45.81,80.58,0,0,0,22.19,Safe,22.19,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
7,2026-07-01 08:30:00,Zone C,17.3,42.25,43.66,96.86,0,0,0,26.59,Safe,26.59,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
8,2026-07-01 08:35:00,Zone C,8.88,27.0,64.18,85.74,0,1,0,28.58,Safe,33.58,50,3 Hours 57 Minutes,"[""Active Maintenance Activity""]","[""Immediate suspension of active maintenance permits in Zone""]"
9,2026-07-01 08:40:00,Zone A,24.25,69.93,53.95,64.87,0,0,0,45.81,Safe,45.81,50,3 Hours 29 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
10,2026-07-01 08:45:00,Zone A,4.07,34.94,43.58,92.86,0,0,0,22.43,Safe,22.43,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
